Seed,Model,Dataset,Accuracy,AUC
9239,MLPClassifier,Test,0.6410256410256411,0.6916666666666667
9045,LogisticRegression,Training,0.6625,0.72125
9045,LogisticRegression,Test,0.7727272727272727,0.8219461697722567
9045,RandomForest,Training,0.7875,0.924375
9045,RandomForest,Test,0.6136363636363636,0.7091097308488614
9045,GradientBoosting,Training,1.0,1.0
9045,GradientBoosting,Test,0.6363636363636364,0.593167701863354
9045,SVC,Training,0.7125,0.2875
9045,SVC,Test,0.6363636363636364,0.23084886128364393
9045,MLPClassifier,Training,0.7125,0.7418750000000001
9045,MLPClassifier,Test,0.6363636363636364,0.7556935817805382
618,LogisticRegression,Training,0.675,0.7343750000000001
618,LogisticRegression,Test,0.7555555555555555,0.7692307692307692
618,RandomForest,Training,0.85,0.9400000000000001
618,RandomForest,Test,0.5555555555555556,0.6305668016194331
618,GradientBoosting,Training,0.775,0.85125
618,GradientBoosting,Test,0.6222222222222222,0.6386639676113361
618,SVC,Training,0.675,0.2746875
618,SVC,Test,0.7555555555555555,0.2327935222672065
618,MLPClassifier,Training,0.6625,0.776875
618,MLPClassifier,Test,0.6666666666666666,0.6720647773279351
3365,LogisticRegression,Training,0.7125,0.778125
3365,LogisticRegression,Test,0.7073170731707317,0.7248803827751197
3365,RandomForest,Training,1.0,1.0
3365,RandomForest,Test,0.5365853658536586,0.5442583732057417
3365,GradientBoosting,Training,0.75,0.8609375
3365,GradientBoosting,Test,0.5609756097560976,0.6734449760765551
3365,SVC,Training,0.7125,0.778125
3365,SVC,Test,0.7073170731707317,0.7177033492822967
3365,MLPClassifier,Training,0.725,0.78125
3365,MLPClassifier,Test,0.6585365853658537,0.7272727272727273
887,LogisticRegression,Training,0.65,0.7075
887,LogisticRegression,Test,0.7608695652173914,0.780718336483932
887,RandomForest,Training,0.9,0.9706250000000001
887,RandomForest,Test,0.7608695652173914,0.7523629489603024
887,GradientBoosting,Training,1.0,1.0
887,GradientBoosting,Test,0.6956521739130435,0.7863894139886579
887,SVC,Training,0.65,0.7093750000000001
887,SVC,Test,0.7391304347826086,0.776937618147448
887,MLPClassifier,Training,0.6625,0.7168749999999999
887,MLPClassifier,Test,0.7391304347826086,0.7731568998109641
5297,LogisticRegression,Training,0.725,0.773125
5297,LogisticRegression,Test,0.6923076923076923,0.7754010695187166
